geoid,geoid20,year,denom_totalarea,existing_canopy_count,existing_canopy_pct,possible_canopy_count,possible_canopy_pct
1400000US06037128602,6037128602,2016,12208416,3847795.25,31.517563,3843323.5,31.480934
1400000US06037128703,6037128703,2016,8856309,1925774,21.744658,3435838.75,38.79538
1400000US06037128704,6037128704,2016,8909607,1937363.5,21.744658,3456516,38.79538
1400000US06037128801,6037128801,2016,5317959.5,1015059.375,19.087385,1891181.25,35.56216
1400000US06037128802,6037128802,2016,10420425,2072264,19.886559,4020637.5,38.584198
1400000US06037128910,6037128910,2016,14057322,2943205,20.937166,5105060,36.316021
1400000US06037131021,6037131021,2016,6036960.5,1272440.875,21.077509,2627019.25,43.515594
1400000US06037131022,6037131022,2016,5411855,1140684.125,21.077507,2355001,43.515598
1400000US06037131023,6037131023,2016,6357681,1393722.5,21.921869,2650791.5,41.694313
1400000US06037131024,6037131024,2016,9240163,2025616.5,21.921869,3852622.5,41.694313
1400000US06037131100,6037131100,2016,11847122,2707157.75,22.850763,4847315.5,40.915554
1400000US06037131200,6037131200,2016,12143320,3223462.5,26.545151,4580817,37.722939
1400000US06037131300,6037131300,2016,12033394,2668289,22.174034,4602375,38.246693
1400000US06037131400,6037131400,2016,11915311,2541656.25,21.331011,4634944,38.899059
1400000US06037131600,6037131600,2016,23615874,6434522,27.246597,10010433,42.388577
1400000US06037131701,6037131701,2016,7098834.5,1526076.5,21.497564,2522882.75,35.539394
1400000US06037131702,6037131702,2016,7724641,1631864.125,21.125437,2891237.75,37.428764
1400000US06037131801,6037131801,2016,7049169.5,1653675.75,23.459158,2728704,38.709579
1400000US06037131802,6037131802,2016,7080254,1660968,23.459158,2740736.75,38.709583
1400000US06037131900,6037131900,2016,14189175,3080559.5,21.710632,5581898.5,39.339134
1400000US06037132001,6037132001,2016,10406461,2686598.5,25.816639,3927347,37.739506
1400000US06037132002,6037132002,2016,17222048,3885722,22.562485,8012320.5,46.523621
1400000US06037132101,6037132101,2016,8723953,1995665.625,22.875704,3376364,38.702225
1400000US06037132102,6037132102,2016,14739061,2897254.75,19.656982,6008470.5,40.765625
1400000US06037132301,6037132301,2016,6807237,1350812.75,19.843775,2801129,41.149281
1400000US06037132302,6037132302,2016,6986556.5,1386396.625,19.843777,2874917.75,41.149281
1400000US06037132501,6037132501,2016,7551964.5,1523086,20.168077,3062509.25,40.552486
1400000US06037132502,6037132502,2016,6735361,1353248.5,20.0917,2932973.5,43.545898
